2022-11-14 00:49:06
Namespace(batch_size=100, max_img_per_cls=500, nDataLoaderThread=5, test_interval=5, max_epoch=50, trainfunc='amsoftmax', optimizer='adam', scheduler='steplr', lr=0.001, lr_decay=0.9, weight_decay=0, margin=0.5, scale=15.0, nPerClass=1, nClasses=1230, initial_model='', save_path='exps/18_AM_scale15_magin05_filp_crop08_jitter05', train_path='data/train', train_ext='jpg', test_path='data/val', test_list='data/val_pairs.csv', model='ResNet18', nOut=512, eval=False, output='', mixedprec=False, gpu=0)
IT 1, TLOSS 14.01922
IT 2, TLOSS 12.81441
IT 3, TLOSS 11.93344
IT 4, TLOSS 11.06583
IT 5, Val EER 17.04002
IT 5, TLOSS 10.34812
IT 6, TLOSS 9.66764
IT 7, TLOSS 9.16984
IT 8, TLOSS 8.74485
IT 9, TLOSS 8.37339
IT 10, Val EER 12.82079
IT 10, TLOSS 8.02204
IT 11, TLOSS 7.63272
IT 12, TLOSS 7.33163
IT 13, TLOSS 7.02925
IT 14, TLOSS 6.73586
IT 15, Val EER 10.69222
IT 15, TLOSS 6.45860
IT 16, TLOSS 6.13020
IT 17, TLOSS 5.87581
IT 18, TLOSS 5.62941
IT 19, TLOSS 5.39920
IT 20, Val EER 11.08090
IT 20, TLOSS 5.17056
IT 21, TLOSS 4.89890
IT 22, TLOSS 4.69085
IT 23, TLOSS 4.51307
IT 24, TLOSS 4.33324
IT 25, Val EER 12.30970
IT 25, TLOSS 4.15509
IT 26, TLOSS 3.93245
IT 27, TLOSS 3.78259
IT 28, TLOSS 3.64545
IT 29, TLOSS 3.49885
IT 30, Val EER 13.83210
IT 30, TLOSS 3.35595
IT 31, TLOSS 3.18398
IT 32, TLOSS 3.06161
IT 33, TLOSS 2.95374
IT 34, TLOSS 2.84234
IT 35, Val EER 15.59326
IT 35, TLOSS 2.74201
IT 36, TLOSS 2.59665
IT 37, TLOSS 2.49619
IT 38, TLOSS 2.41878
IT 39, TLOSS 2.33284
IT 40, Val EER 16.82253
IT 40, TLOSS 2.25997
IT 41, TLOSS 2.14517
IT 42, TLOSS 2.07662
IT 43, TLOSS 2.00738
IT 44, TLOSS 1.94771
IT 45, Val EER 18.49717
IT 45, TLOSS 1.89069
IT 46, TLOSS 1.79626
IT 47, TLOSS 1.74969
IT 48, TLOSS 1.69976
IT 49, TLOSS 1.66350
IT 50, Val EER 19.91083
IT 50, TLOSS 1.61262
