2022-11-13 03:44:33
Namespace(batch_size=100, max_img_per_cls=500, nDataLoaderThread=5, test_interval=5, max_epoch=100, trainfunc='amsoftmax', optimizer='adam', scheduler='steplr', lr=0.001, lr_decay=0.9, weight_decay=0, margin=0.5, scale=10.0, nPerClass=1, nClasses=1230, initial_model='', save_path='exps/18_AM_scalse10_magin05_filp_crop08_jitter05', train_path='data/train', train_ext='jpg', test_path='data/val', test_list='data/val_pairs.csv', model='ResNet18', nOut=512, eval=False, output='', mixedprec=False, gpu=0)
IT 1, TLOSS 11.66495
IT 2, TLOSS 10.49297
IT 3, TLOSS 9.71531
IT 4, TLOSS 9.03481
IT 5, Val EER 16.27882
IT 5, TLOSS 8.52917
IT 6, TLOSS 8.11563
IT 7, TLOSS 7.80746
IT 8, TLOSS 7.53073
IT 9, TLOSS 7.29034
IT 10, Val EER 11.31008
IT 10, TLOSS 7.06826
IT 11, TLOSS 6.83531
IT 12, TLOSS 6.64261
IT 13, TLOSS 6.47049
IT 14, TLOSS 6.29715
IT 15, Val EER 10.31970
IT 15, TLOSS 6.13519
IT 16, TLOSS 5.95306
IT 17, TLOSS 5.80213
IT 18, TLOSS 5.66210
IT 19, TLOSS 5.52843
IT 20, Val EER 9.84396
IT 20, TLOSS 5.40011
IT 21, TLOSS 5.24358
IT 22, TLOSS 5.12135
IT 23, TLOSS 5.02143
IT 24, TLOSS 4.91844
IT 25, Val EER 10.51544
IT 25, TLOSS 4.80812
IT 26, TLOSS 4.67726
IT 27, TLOSS 4.58105
IT 28, TLOSS 4.49431
IT 29, TLOSS 4.41398
IT 30, Val EER 12.99613
IT 30, TLOSS 4.32675
IT 31, TLOSS 4.21541
IT 32, TLOSS 4.13902
IT 33, TLOSS 4.07036
IT 34, TLOSS 4.00178
IT 35, Val EER 13.53849
IT 35, TLOSS 3.93717
IT 36, TLOSS 3.83708
IT 37, TLOSS 3.77728
IT 38, TLOSS 3.72314
IT 39, TLOSS 3.66987
IT 40, Val EER 14.72405
IT 40, TLOSS 3.62048
IT 41, TLOSS 3.54860
IT 42, TLOSS 3.49019
IT 43, TLOSS 3.45092
IT 44, TLOSS 3.40591
IT 45, Val EER 16.50435
IT 45, TLOSS 3.37237
IT 46, TLOSS 3.31017
IT 47, TLOSS 3.27212
IT 48, TLOSS 3.23592
IT 49, TLOSS 3.20890
IT 50, Val EER 19.09526
IT 50, TLOSS 3.16894
IT 51, TLOSS 3.12606
IT 52, TLOSS 3.09938
IT 53, TLOSS 3.07396
IT 54, TLOSS 3.04379
IT 55, Val EER 20.07540
IT 55, TLOSS 3.01686
IT 56, TLOSS 2.98040
IT 57, TLOSS 2.95860
IT 58, TLOSS 2.93902
IT 59, TLOSS 2.92254
IT 60, Val EER 21.90805
IT 60, TLOSS 2.90660
IT 61, TLOSS 2.87262
IT 62, TLOSS 2.85200
IT 63, TLOSS 2.84329
IT 64, TLOSS 2.82676
IT 65, Val EER 23.12962
IT 65, TLOSS 2.81134
IT 66, TLOSS 2.78828
IT 67, TLOSS 2.77583
IT 68, TLOSS 2.76175
IT 69, TLOSS 2.75148
IT 70, Val EER 24.42366
IT 70, TLOSS 2.74140
IT 71, TLOSS 2.72112
IT 72, TLOSS 2.71003
IT 73, TLOSS 2.70113
IT 74, TLOSS 2.69003
IT 75, Val EER 25.58721
IT 75, TLOSS 2.68098
IT 76, TLOSS 2.66786
IT 77, TLOSS 2.65817
IT 78, TLOSS 2.65054
IT 79, TLOSS 2.64465
IT 80, Val EER 26.26453
IT 80, TLOSS 2.63775
IT 81, TLOSS 2.62430
IT 82, TLOSS 2.61813
IT 83, TLOSS 2.61154
IT 84, TLOSS 2.60839
IT 85, Val EER 26.92475
IT 85, TLOSS 2.59928
IT 86, TLOSS 2.59022
IT 87, TLOSS 2.58600
IT 88, TLOSS 2.58059
IT 89, TLOSS 2.57889
IT 90, Val EER 28.81977
IT 90, TLOSS 2.56904
IT 91, TLOSS 2.56623
IT 92, TLOSS 2.55665
IT 93, TLOSS 2.55623
IT 94, TLOSS 2.55102
IT 95, Val EER 28.65376
IT 95, TLOSS 2.55064
IT 96, TLOSS 2.53895
IT 97, TLOSS 2.53789
IT 98, TLOSS 2.53389
IT 99, TLOSS 2.52850
IT 100, Val EER 28.16002
IT 100, TLOSS 2.52659
