2022-11-15 12:38:38
Namespace(batch_size=200, max_img_per_cls=100, nDataLoaderThread=5, test_interval=5, max_epoch=100, trainfunc='amsoftmax', optimizer='adam', scheduler='steplr', lr=0.001, lr_decay=0.9, weight_decay=0, margin=0.1, scale=30, nPerClass=1, nClasses=8631, initial_model='', save_path='exps/T34_Am_VGGFace2_crop08', train_path='data/train', train_ext='jpg', test_path='data/val', test_list='data/val_pairs.csv', model='ThinResNet34', nOut=512, eval=False, output='', mixedprec=False, gpu=0)
IT 1, TLOSS 9.37096
IT 2, TLOSS 5.42691
IT 3, TLOSS 3.68502
IT 4, TLOSS 2.88930
IT 5, Val EER 16.05046
IT 5, TLOSS 2.43251
IT 6, TLOSS 2.07615
IT 7, TLOSS 1.87300
IT 8, TLOSS 1.72388
IT 9, TLOSS 1.59679
IT 10, Val EER 13.18463
IT 10, TLOSS 1.49776
IT 11, TLOSS 1.38325
IT 12, TLOSS 1.31671
IT 13, TLOSS 1.25823
IT 14, TLOSS 1.21152
IT 15, Val EER 11.45063
IT 15, TLOSS 1.17345
IT 16, TLOSS 1.10934
IT 17, TLOSS 1.06765
IT 18, TLOSS 1.04292
IT 19, TLOSS 1.01504
IT 20, Val EER 10.13719
IT 20, TLOSS 0.99160
IT 21, TLOSS 0.94675
IT 22, TLOSS 0.92422
IT 23, TLOSS 0.90721
IT 24, TLOSS 0.89161
IT 25, Val EER 10.75505
IT 25, TLOSS 0.87159
IT 26, TLOSS 0.84359
IT 27, TLOSS 0.82887
IT 28, TLOSS 0.81430
IT 29, TLOSS 0.80296
IT 30, Val EER 10.51544
IT 30, TLOSS 0.79109
IT 31, TLOSS 0.76438
IT 32, TLOSS 0.75434
IT 33, TLOSS 0.74395
IT 34, TLOSS 0.73500
IT 35, Val EER 10.06960
IT 35, TLOSS 0.72458
IT 36, TLOSS 0.70441
IT 37, TLOSS 0.69920
IT 38, TLOSS 0.69030
IT 39, TLOSS 0.68229
IT 40, Val EER 9.63462
IT 40, TLOSS 0.67664
IT 41, TLOSS 0.65846
IT 42, TLOSS 0.65126
IT 43, TLOSS 0.64625
IT 44, TLOSS 0.63971
IT 45, Val EER 9.36277
IT 45, TLOSS 0.63685
IT 46, TLOSS 0.61990
IT 47, TLOSS 0.61638
IT 48, TLOSS 0.60893
IT 49, TLOSS 0.60526
IT 50, Val EER 9.63462
IT 50, TLOSS 0.60160
IT 51, TLOSS 0.58745
IT 52, TLOSS 0.58018
IT 53, TLOSS 0.57847
IT 54, TLOSS 0.57517
IT 55, Val EER 9.52979
IT 55, TLOSS 0.57217
IT 56, TLOSS 0.55954
IT 57, TLOSS 0.55791
IT 58, TLOSS 0.55386
IT 59, TLOSS 0.54827
IT 60, Val EER 9.32035
IT 60, TLOSS 0.54671
IT 61, TLOSS 0.53817
IT 62, TLOSS 0.53298
IT 63, TLOSS 0.53291
IT 64, TLOSS 0.52601
IT 65, Val EER 9.69735
IT 65, TLOSS 0.52459
IT 66, TLOSS 0.51702
IT 67, TLOSS 0.51261
IT 68, TLOSS 0.51217
IT 69, TLOSS 0.50839
IT 70, Val EER 8.89517
IT 70, TLOSS 0.50533
IT 71, TLOSS 0.49811
IT 72, TLOSS 0.49644
IT 73, TLOSS 0.49375
IT 74, TLOSS 0.49366
IT 75, Val EER 9.07948
IT 75, TLOSS 0.49022
IT 76, TLOSS 0.48581
IT 77, TLOSS 0.48133
IT 78, TLOSS 0.47680
IT 79, TLOSS 0.47593
IT 80, Val EER 9.46696
IT 80, TLOSS 0.47578
IT 81, TLOSS 0.46844
IT 82, TLOSS 0.46758
